region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,82.49,119,110,141,81.21,84.83,119 [110 - 141],82.49% [81.21% - 84.83%],210,102,408,06-08-2021,projected
2,AL- DOTHAN,80.0,0,0,7,80.0,81.81,0 [0 - 7],80.0% [80.0% - 81.81%],0,0,24,06-08-2021,projected
5,AL- HUNTSVILLE,83.94,42,39,67,82.34,93.46,42 [39 - 67],83.94% [82.34% - 93.46%],74,44,253,06-08-2021,projected
6,AL- MOBILE,83.64,56,52,64,81.37,84.9,56 [52 - 64],83.64% [81.37% - 84.9%],104,39,140,06-08-2021,projected
7,AL- MONTGOMERY,82.26,21,20,25,81.55,84.98,21 [20 - 25],82.26% [81.55% - 84.98%],35,24,77,06-08-2021,projected
9,AL- TUSCALOOSA,81.2,7,6,7,80.0,81.2,7 [6 - 7],81.2% [80.0% - 81.2%],12,0,12,06-08-2021,projected
11,AZ- MESA,87.88,84,78,91,85.0,93.03,84 [78 - 91],87.88% [85.0% - 93.03%],156,99,258,06-08-2021,projected
12,AZ- PHOENIX,84.65,192,178,216,82.55,88.38,192 [178 - 216],84.65% [82.55% - 88.38%],352,193,635,06-08-2021,projected
14,AZ- SUN CITY,83.09,14,13,15,81.98,85.06,14 [13 - 15],83.09% [81.98% - 85.06%],25,16,41,06-08-2021,projected
15,AZ- TUCSON,85.31,75,69,87,82.89,90.66,75 [69 - 87],85.31% [82.89% - 90.66%],134,73,269,06-08-2021,projected
16,AR- FORT SMITH,99.67,174,147,279,85.62,155.25,174 [147 - 279],99.67% [85.62% - 155.25%],252,72,964,06-08-2021,projected
18,AR- JONESBORO,85.2,29,24,31,80.0,87.74,29 [24 - 31],85.2% [80.0% - 87.74%],47,0,70,06-08-2021,projected
19,AR- LITTLE ROCK,95.87,576,518,712,86.86,114.37,576 [518 - 712],95.87% [86.86% - 114.37%],916,396,1984,06-08-2021,projected
21,AR- SPRINGDALE,94.47,96,84,157,83.69,135.63,96 [84 - 157],94.47% [83.69% - 135.63%],153,39,588,06-08-2021,projected
22,AR- TEXARKANA,89.29,63,54,119,82.86,121.63,63 [54 - 119],89.29% [82.86% - 121.63%],91,28,408,06-08-2021,projected
23,CA- ORANGE CO.,80.68,21,18,30,80.14,81.73,21 [18 - 30],80.68% [80.14% - 81.73%],52,11,132,06-08-2021,projected
