date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-29-2021,82.18,,,,,,,,73,,,actual
06-05-2021,81.82,,,,,,,,61,,,actual
06-12-2021,81.82,,,,,,,,61,,,actual
06-19-2021,81.43,44,39,58,80.57,83.53,44 [39 - 58],81.43% [80.57% - 83.53%],48,19,118,projected
06-26-2021,82.09,61,53,84,80.75,86.36,61 [53 - 84],82.09% [80.75% - 86.36%],70,25,213,projected
07-03-2021,83.91,120,105,167,80.84,91.71,120 [105 - 167],83.91% [80.84% - 91.71%],131,28,392,projected
07-10-2021,85.62,168,146,235,81.34,99.12,168 [146 - 235],85.62% [81.34% - 99.12%],188,45,640,projected
07-17-2021,87.86,235,204,331,81.52,107.52,235 [204 - 331],87.86% [81.52% - 107.52%],263,51,921,projected
07-24-2021,90.58,316,275,438,82.33,117.17,316 [275 - 438],90.58% [82.33% - 117.17%],354,78,1244,projected
07-31-2021,93.77,409,358,550,82.81,125.59,409 [358 - 550],93.77% [82.81% - 125.59%],461,94,1526,projected
