date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-08-2021,84.78,,,,,,,,168,,,actual
05-15-2021,84.1,,,,,,,,144,,,actual
05-22-2021,83.13,,,,,,,,110,,,actual
05-29-2021,82.25,44,43,48,81.74,82.99,44 [43 - 48],82.25% [81.74% - 82.99%],79,61,105,projected
06-05-2021,81.42,39,37,40,81.25,81.79,39 [37 - 40],81.42% [81.25% - 81.79%],50,44,63,projected
06-12-2021,81.25,35,31,36,80.97,81.42,35 [31 - 36],81.25% [80.97% - 81.42%],44,34,50,projected
06-19-2021,81.14,26,21,29,80.34,81.37,26 [21 - 29],81.14% [80.34% - 81.37%],40,12,48,projected
06-26-2021,80.83,21,18,24,80.0,81.37,21 [18 - 24],80.83% [80.0% - 81.37%],29,0,48,projected
07-03-2021,80.68,14,11,19,80.0,81.34,14 [11 - 19],80.68% [80.0% - 81.34%],24,0,47,projected
07-10-2021,80.43,4,3,10,80.0,81.37,4 [3 - 10],80.43% [80.0% - 81.37%],15,0,48,projected
