date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-08-2021,84.23,,,,,,,,160,,,actual
05-15-2021,83.7,,,,,,,,140,,,actual
05-22-2021,83.04,,,,,,,,115,,,actual
05-29-2021,81.66,42,40,44,81.43,81.93,42 [40 - 44],81.66% [81.43% - 81.93%],63,54,73,projected
06-05-2021,81.27,36,34,38,80.9,81.64,36 [34 - 38],81.27% [80.9% - 81.64%],48,34,62,projected
06-12-2021,81.08,35,33,40,80.79,81.48,35 [33 - 40],81.08% [80.79% - 81.48%],41,30,56,projected
06-19-2021,81.06,35,32,45,80.63,81.77,35 [32 - 45],81.06% [80.63% - 81.77%],40,24,67,projected
06-26-2021,81.48,51,45,77,80.42,85.18,51 [45 - 77],81.48% [80.42% - 85.18%],56,16,196,projected
07-03-2021,81.82,61,53,95,80.42,88.21,61 [53 - 95],81.82% [80.42% - 88.21%],69,16,311,projected
07-10-2021,82.38,80,69,113,80.42,88.61,80 [69 - 113],82.38% [80.42% - 88.61%],90,16,326,projected
