date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-08-2021,84.0,,,,,,,,48,,,actual
05-15-2021,82.34,,,,,,,,28,,,actual
05-22-2021,81.58,,,,,,,,19,,,actual
05-29-2021,80.67,0,0,5,80.0,81.25,0 [0 - 5],80.67% [80.0% - 81.25%],8,0,15,projected
06-05-2021,81.0,12,10,19,80.0,84.25,12 [10 - 19],81.0% [80.0% - 84.25%],12,0,51,projected
06-12-2021,82.17,24,19,45,80.0,90.43,24 [19 - 45],82.17% [80.0% - 90.43%],26,0,125,projected
06-19-2021,84.67,51,43,128,80.08,114.03,51 [43 - 128],84.67% [80.08% - 114.03%],56,1,408,projected
06-26-2021,87.84,85,73,188,81.75,150.31,85 [73 - 188],87.84% [81.75% - 150.31%],94,21,843,projected
07-03-2021,94.43,157,133,248,83.0,151.31,157 [133 - 248],94.43% [83.0% - 151.31%],173,36,855,projected
07-10-2021,102.94,248,213,347,82.84,164.65,248 [213 - 347],102.94% [82.84% - 164.65%],275,34,1015,projected
