date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-29-2021,81.33,,,,,,,,16,,,actual
06-05-2021,81.5,,,,,,,,18,,,actual
06-12-2021,80.92,,,,,,,,11,,,actual
06-19-2021,82.09,24,21,52,80.75,92.34,24 [21 - 52],82.09% [80.75% - 92.34%],25,9,148,projected
06-26-2021,84.5,50,43,140,80.75,120.37,50 [43 - 140],84.5% [80.75% - 120.37%],54,9,484,projected
07-03-2021,89.09,102,87,215,81.25,159.32,102 [87 - 215],89.09% [81.25% - 159.32%],109,15,951,projected
07-10-2021,96.1,173,149,270,83.09,157.81,173 [149 - 270],96.1% [83.09% - 157.81%],193,37,933,projected
07-17-2021,104.1,262,226,377,84.59,172.58,262 [226 - 377],104.1% [84.59% - 172.58%],289,55,1110,projected
07-24-2021,114.28,367,315,504,85.09,199.52,367 [315 - 504],114.28% [85.09% - 199.52%],411,61,1433,projected
07-31-2021,122.7,452,392,598,86.17,216.61,452 [392 - 598],122.7% [86.17% - 216.61%],512,74,1638,projected
