date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-29-2021,83.59,,,,,,,,69,,,actual
06-05-2021,83.59,,,,,,,,69,,,actual
06-12-2021,82.86,,,,,,,,55,,,actual
06-19-2021,80.99,5,3,11,80.0,81.46,5 [3 - 11],80.99% [80.0% - 81.46%],19,0,28,projected
06-26-2021,80.31,0,0,18,80.0,82.13,0 [0 - 18],80.31% [80.0% - 82.13%],6,0,41,projected
07-03-2021,80.31,5,4,37,80.0,90.19,5 [4 - 37],80.31% [80.0% - 90.19%],6,0,196,projected
07-10-2021,80.99,18,13,51,80.0,93.72,18 [13 - 51],80.99% [80.0% - 93.72%],19,0,264,projected
07-17-2021,82.29,40,34,66,80.0,92.06,40 [34 - 66],82.29% [80.0% - 92.06%],44,0,232,projected
07-24-2021,82.29,34,29,56,80.0,91.75,34 [29 - 56],82.29% [80.0% - 91.75%],44,0,226,projected
07-31-2021,81.82,20,16,44,80.0,90.76,20 [16 - 44],81.82% [80.0% - 90.76%],35,0,207,projected
