date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-29-2021,82.79,,,,,,,,98,,,actual
06-05-2021,82.62,,,,,,,,92,,,actual
06-12-2021,82.08,,,,,,,,73,,,actual
06-19-2021,80.85,28,25,33,80.63,82.19,28 [25 - 33],80.85% [80.63% - 82.19%],30,22,77,projected
06-26-2021,80.77,14,12,21,80.43,82.08,14 [12 - 21],80.77% [80.43% - 82.08%],27,15,73,projected
07-03-2021,80.54,13,11,22,80.11,82.16,13 [11 - 22],80.54% [80.11% - 82.16%],19,4,76,projected
07-10-2021,80.48,7,6,19,80.0,82.25,7 [6 - 19],80.48% [80.0% - 82.25%],17,0,79,projected
07-17-2021,80.26,7,6,21,80.0,82.53,7 [6 - 21],80.26% [80.0% - 82.53%],9,0,89,projected
07-24-2021,80.26,7,6,23,80.0,83.22,7 [6 - 23],80.26% [80.0% - 83.22%],9,0,113,projected
07-31-2021,80.26,7,6,23,80.0,83.59,7 [6 - 23],80.26% [80.0% - 83.59%],9,0,126,projected
