date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-01-2021,85.01,,,,,,,,207,,,actual
05-08-2021,83.95,,,,,,,,163,,,actual
05-15-2021,83.56,,,,,,,,147,,,actual
05-22-2021,81.4,41,40,43,81.26,81.6,41 [40 - 43],81.4% [81.26% - 81.6%],58,52,66,projected
05-29-2021,81.14,31,29,33,80.94,81.26,31 [29 - 33],81.14% [80.94% - 81.26%],47,39,52,projected
06-05-2021,80.8,24,22,26,80.53,81.19,24 [22 - 26],80.8% [80.53% - 81.19%],33,22,49,projected
06-12-2021,80.65,15,13,18,80.34,80.97,15 [13 - 18],80.65% [80.34% - 80.97%],27,14,40,projected
06-19-2021,80.39,12,11,15,80.15,80.9,12 [11 - 15],80.39% [80.15% - 80.9%],16,6,37,projected
06-26-2021,80.24,7,7,10,80.15,80.85,7 [7 - 10],80.24% [80.15% - 80.85%],10,6,35,projected
07-03-2021,80.15,7,6,10,80.15,80.75,7 [6 - 10],80.15% [80.15% - 80.75%],6,6,31,projected
