date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-01-2021,85.67,,,,,,,,109,,,actual
05-08-2021,84.83,,,,,,,,93,,,actual
05-15-2021,84.73,,,,,,,,91,,,actual
05-22-2021,82.18,29,28,30,81.98,82.29,29 [28 - 30],82.18% [81.98% - 82.29%],42,38,44,projected
05-29-2021,81.66,28,26,28,81.61,81.82,28 [26 - 28],81.66% [81.61% - 81.82%],32,31,35,projected
06-05-2021,81.61,17,15,20,81.2,81.61,17 [15 - 20],81.61% [81.2% - 81.61%],31,23,31,projected
06-12-2021,81.09,14,13,17,80.99,81.72,14 [13 - 17],81.09% [80.99% - 81.72%],21,19,33,projected
06-19-2021,80.99,14,13,17,80.68,82.08,14 [13 - 17],80.99% [80.68% - 82.08%],19,13,40,projected
06-26-2021,80.99,14,13,18,80.31,82.18,14 [13 - 18],80.99% [80.31% - 82.18%],19,6,42,projected
07-03-2021,80.99,14,13,18,80.31,82.39,14 [13 - 18],80.99% [80.31% - 82.39%],19,6,46,projected
