date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-29-2021,82.4,,,,,,,,429,,,actual
06-05-2021,82.2,,,,,,,,393,,,actual
06-12-2021,81.87,,,,,,,,334,,,actual
06-19-2021,80.89,153,139,186,80.58,81.97,153 [139 - 186],80.89% [80.58% - 81.97%],160,103,352,projected
06-26-2021,80.82,133,120,174,80.42,81.92,133 [120 - 174],80.82% [80.42% - 81.92%],146,75,344,projected
07-03-2021,80.82,141,124,195,80.29,82.39,141 [124 - 195],80.82% [80.29% - 82.39%],147,52,428,projected
07-10-2021,80.78,119,105,182,80.22,82.6,119 [105 - 182],80.78% [80.22% - 82.6%],139,39,466,projected
07-17-2021,80.78,134,118,201,80.22,83.19,134 [118 - 201],80.78% [80.22% - 83.19%],140,40,571,projected
07-24-2021,80.83,147,131,215,80.24,83.36,147 [131 - 215],80.83% [80.24% - 83.36%],149,43,601,projected
07-31-2021,80.86,150,134,224,80.24,83.47,150 [134 - 224],80.86% [80.24% - 83.47%],154,43,621,projected
