date,Total Projected Demand (%),Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Type
05-01-2021,85.52,,,,,,,,194,,,actual
05-08-2021,84.78,,,,,,,,168,,,actual
05-15-2021,84.1,,,,,,,,144,,,actual
05-22-2021,83.62,81,78,83,82.99,84.18,81 [78 - 83],83.62% [82.99% - 84.18%],127,105,147,projected
05-29-2021,82.59,56,52,59,82.08,82.96,56 [52 - 59],82.59% [82.08% - 82.96%],91,73,104,projected
06-05-2021,81.79,32,30,36,81.0,82.25,32 [30 - 36],81.79% [81.0% - 82.25%],63,35,79,projected
06-12-2021,81.0,28,25,31,80.8,81.74,28 [25 - 31],81.0% [80.8% - 81.74%],35,28,61,projected
06-19-2021,80.85,12,10,16,80.26,81.34,12 [10 - 16],80.85% [80.26% - 81.34%],30,9,47,projected
06-26-2021,80.34,7,6,10,80.06,81.08,7 [6 - 10],80.34% [80.06% - 81.08%],12,2,38,projected
07-03-2021,80.17,7,6,9,80.0,80.85,7 [6 - 9],80.17% [80.0% - 80.85%],6,0,30,projected
