date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,type
01-22-2020,0,0,0
05-09-2021,61,56,62
05-10-2021,69,62,72
05-11-2021,77,68,88
05-12-2021,90,75,109
05-13-2021,105,82,132
05-14-2021,118,93,158
05-15-2021,135,103,188
05-16-2021,155,116,222
05-17-2021,174,126,256
05-18-2021,195,141,294
05-19-2021,221,155,327
05-20-2021,242,170,363
05-21-2021,264,185,397
05-22-2021,285,197,430
05-23-2021,304,212,455
05-24-2021,321,224,474
05-25-2021,332,233,488
05-26-2021,340,241,497
05-27-2021,344,245,499
05-28-2021,362,259,528
05-29-2021,377,268,554
05-30-2021,393,273,577
05-31-2021,405,277,602
06-01-2021,419,275,626
06-02-2021,433,273,648
06-03-2021,441,268,677
06-04-2021,448,266,700
06-05-2021,454,261,721
06-06-2021,458,255,741
06-07-2021,458,254,759
06-08-2021,459,251,777
06-09-2021,460,247,797
06-10-2021,458,242,808
06-11-2021,455,239,821
06-12-2021,452,234,829
06-13-2021,451,228,844
06-14-2021,445,223,852
06-15-2021,441,215,861
06-16-2021,437,211,861
06-17-2021,429,205,864
06-18-2021,424,199,867
06-19-2021,421,193,866
06-20-2021,411,187,858
06-21-2021,406,180,853
06-22-2021,395,175,846
06-23-2021,389,169,832
06-24-2021,382,161,822
06-25-2021,370,156,811
06-26-2021,363,152,799
06-27-2021,353,144,780
06-28-2021,345,137,768
06-29-2021,334,130,745
06-30-2021,323,123,727
07-01-2021,314,117,709
07-02-2021,305,111,690
07-03-2021,294,107,672
07-04-2021,285,102,663
07-05-2021,278,97,649
07-06-2021,266,94,637
07-07-2021,255,89,621
07-08-2021,244,84,609
07-09-2021,234,79,596
07-10-2021,227,76,586
